	taxid	species	target_name	tlen	query name	accession	qlen	E-value	score1	bias1	#	of	c-Evalue	i-Evalue	score	bias	hmmfrom	hmmto	alifrom	alito	envfrom	envto	acc	description of target	chimera	superkingdom	kingdom	phylum	order	sci_name	color
0	7010	Schistocerca gregaria	XP_049849891.1																		420.0	641.0		XP_049849891.1 uncharacterized protein LOC126320442 isoform X2 [Schistocerca gregaria]	True	Eukaryota	Metazoa	Arthropoda	Orthoptera	Schistocerca gregaria	pink
507	77166	Dendroctonus ponderosae	ENN76342.1	747.0	GCF_023897955.1;XP_049849891.1;Meta_(430,634)	-	214.0	3.3e-121	417.3	4.8	1.0	1.0	1.5000000000000002e-125	3.3e-121	417.3	4.8	1.0	214.0	425.0	638.0	425.0	638.0	1.0	hypothetical protein YQE_07119, partial [Dendroctonus ponderosae]	False	Eukaryota	Metazoa	Arthropoda	Coleoptera	Dendroctonus ponderosae	pink
26	7048	Sitophilus oryzae	XP_030766510.1	872.0	GCF_023897955.1;XP_049849891.1;Meta_(430,634)	-	214.0	1.6e-116	402.1	5.8	1.0	1.0	7.2e-121	1.6e-116	402.1	5.8	1.0	214.0	550.0	763.0	550.0	763.0	1.0	gamma-aminobutyric acid type B receptor subunit 1 [Sitophilus oryzae]	False	Eukaryota	Metazoa	Arthropoda	Coleoptera	Sitophilus oryzae	pink
811	354439	Rhynchophorus ferrugineus	KAF7283485.1	755.0	GCF_023897955.1;XP_049849891.1;Meta_(430,634)	-	214.0	4.6e-115	397.3	7.2	1.0	1.0	3.7e-119	7.9999999999999995e-115	396.5	7.2	1.0	214.0	474.0	687.0	474.0	687.0	1.0	hypothetical protein GWI33_000514 [Rhynchophorus ferrugineus]	False	Eukaryota	Metazoa	Arthropoda	Coleoptera	Rhynchophorus ferrugineus	pink
997	2921223	Anthonomus grandis grandis	XP_050307977.1	875.0	GCF_023897955.1;XP_049849891.1;Meta_(430,634)	-	214.0	9.7e-113	389.7	4.7	1.0	1.0	4.5e-117	9.7e-113	389.7	4.7	1.0	214.0	551.0	764.0	551.0	764.0	1.0	gamma-aminobutyric acid type B receptor subunit 1 [Anthonomus grandis grandis]	False	Eukaryota	Metazoa	Arthropoda	Coleoptera	Anthonomus grandis	pink
601	116153	Aethina tumida	XP_049820735.1	731.0	GCF_023897955.1;XP_049849891.1;Meta_(430,634)	-	214.0	6e-105	364.2	3.4	1.0	1.0	2.8e-109	6e-105	364.2	3.4	1.0	214.0	453.0	666.0	453.0	666.0	1.0	gamma-aminobutyric acid type B receptor subunit 1 isoform X3 [Aethina tumida]	False	Eukaryota	Metazoa	Arthropoda	Coleoptera	Aethina tumida	pink
938	1431903	Brassicogethes aeneus	CAH0552596.1	854.0	GCF_023897955.1;XP_049849891.1;Meta_(430,634)	-	214.0	9.4e-104	360.3	2.0	1.0	1.0	4.3e-108	9.4e-104	360.3	2.0	1.0	214.0	575.0	788.0	575.0	788.0	1.0	unnamed protein product [Brassicogethes aeneus]	False	Eukaryota	Metazoa	Arthropoda	Coleoptera	Brassicogethes aeneus	pink
371	41895	Tribolium madens	XP_044262893.1	810.0	GCF_023897955.1;XP_049849891.1;Meta_(430,634)	-	214.0	8.5e-103	357.2	1.6	1.0	1.0	3.9e-107	8.5e-103	357.2	1.6	1.0	214.0	533.0	746.0	533.0	746.0	1.0	gamma-aminobutyric acid type B receptor subunit 1 isoform X2 [Tribolium madens]	False	Eukaryota	Metazoa	Arthropoda	Coleoptera	Tribolium madens	pink
467	64391	Callosobruchus maculatus	VEN35514.1	365.0	GCF_023897955.1;XP_049849891.1;Meta_(430,634)	-	214.0	9.3e-103	357.0	2.9	1.0	1.0	4.3e-107	9.3e-103	357.0	2.9	1.0	214.0	68.0	281.0	68.0	281.0	1.0	unnamed protein product, partial [Callosobruchus maculatus]	False	Eukaryota	Metazoa	Arthropoda	Coleoptera	Callosobruchus maculatus	pink
641	146774	Callosobruchus chinensis	CAH7766077.1	399.0	GCF_023897955.1;XP_049849891.1;Meta_(430,634)	-	214.0	1.9e-102	356.0	2.8	1.0	1.0	8.899999999999999e-107	1.9e-102	356.0	2.8	1.0	214.0	68.0	281.0	68.0	281.0	1.0	unnamed protein product [Callosobruchus chinensis]	False	Eukaryota	Metazoa	Arthropoda	Coleoptera	Callosobruchus chinensis	pink
726	217634	Anoplophora glabripennis	XP_023311888.1	499.0	GCF_023897955.1;XP_049849891.1;Meta_(430,634)	-	214.0	2.2e-102	355.8	3.6	1.0	1.0	9.9e-107	2.2e-102	355.8	3.6	1.0	214.0	182.0	395.0	182.0	395.0	1.0	gamma-aminobutyric acid type B receptor subunit 1-like, partial [Anoplophora glabripennis]	False	Eukaryota	Metazoa	Arthropoda	Coleoptera	Anoplophora glabripennis	pink
706	200917	Acanthoscelides obtectus	CAH1971061.1	818.0	GCF_023897955.1;XP_049849891.1;Meta_(430,634)	-	214.0	7.9e-102	354.0	3.0	1.0	1.0	3.6e-106	7.9e-102	354.0	3.0	1.0	214.0	533.0	746.0	533.0	746.0	1.0	unnamed protein product [Acanthoscelides obtectus]	False	Eukaryota	Metazoa	Arthropoda	Coleoptera	Acanthoscelides obtectus	pink
953	1661398	Asbolus verrucosus	RZC38381.1	428.0	GCF_023897955.1;XP_049849891.1;Meta_(430,634)	-	214.0	5.5e-101	351.3	1.7	1.0	1.0	2.5e-105	5.5e-101	351.3	1.7	1.0	214.0	111.0	324.0	111.0	324.0	1.0	gamma-aminobutyric acid type B receptor subunit 1-like, partial [Asbolus verrucosus]	False	Eukaryota	Metazoa	Arthropoda	Coleoptera	Asbolus verrucosus	pink
514	80249	Phaedon cochleariae	CAG9822892.1	347.0	GCF_023897955.1;XP_049849891.1;Meta_(430,634)	-	214.0	1.7e-100	349.7	4.1	1.0	1.0	7.799999999999999e-105	1.7e-100	349.7	4.1	1.0	214.0	68.0	281.0	68.0	281.0	1.0	unnamed protein product [Phaedon cochleariae]	False	Eukaryota	Metazoa	Arthropoda	Coleoptera	Phaedon cochleariae	pink
28	7067	Tenebrio molitor	KAH0811764.1	652.0	GCF_023897955.1;XP_049849891.1;Meta_(430,634)	-	214.0	1.5e-99	346.6	2.2	1.0	1.0	6.8e-104	1.5e-99	346.6	2.2	1.0	214.0	337.0	550.0	337.0	550.0	1.0	hypothetical protein GEV33_011028 [Tenebrio molitor]	False	Eukaryota	Metazoa	Arthropoda	Coleoptera	Tenebrio molitor	pink
821	370605	Lamprigera yunnana	KAF5273479.1	623.0	GCF_023897955.1;XP_049849891.1;Meta_(430,634)	-	214.0	1.9e-99	346.3	1.3	1.0	1.0	8.5e-104	1.9e-99	346.3	1.3	1.0	214.0	371.0	584.0	371.0	584.0	1.0	hypothetical protein FQA39_LY07496 [Lamprigera yunnana]	False	Eukaryota	Metazoa	Arthropoda	Coleoptera	Lamprigera yunnana	pink
407	50390	Diabrotica virgifera virgifera	XP_050513081.1	889.0	GCF_023897955.1;XP_049849891.1;Meta_(430,634)	-	214.0	2.3e-99	346.0	4.4	1.0	1.0	1.1e-103	2.3e-99	346.0	4.4	1.0	214.0	570.0	783.0	570.0	783.0	1.0	gamma-aminobutyric acid type B receptor subunit 1 [Diabrotica virgifera virgifera]	False	Eukaryota	Metazoa	Arthropoda	Coleoptera	Diabrotica virgifera	pink
84	7539	Leptinotarsa decemlineata	XP_023016892.1	809.0	GCF_023897955.1;XP_049849891.1;Meta_(430,634)	-	214.0	3.1e-99	345.5	3.2	1.0	1.0	1.4e-103	3.1e-99	345.5	3.2	1.0	214.0	531.0	744.0	531.0	744.0	1.0	gamma-aminobutyric acid type B receptor subunit 1 isoform X2 [Leptinotarsa decemlineata]	False	Eukaryota	Metazoa	Arthropoda	Coleoptera	Leptinotarsa decemlineata	pink
969	2038154	Ignelater luminosus	KAF2884262.1	458.0	GCF_023897955.1;XP_049849891.1;Meta_(430,634)	-	214.0	1.4e-98	343.3	0.6	1.0	1.0	6.6e-103	1.4e-98	343.3	0.6	1.0	214.0	178.0	391.0	178.0	391.0	1.0	hypothetical protein ILUMI_21914 [Ignelater luminosus]	False	Eukaryota	Metazoa	Arthropoda	Coleoptera	Ignelater luminosus	pink
983	2598218	Psylliodes chrysocephala	CAH1102468.1	832.0	GCF_023897955.1;XP_049849891.1;Meta_(430,634)	-	214.0	2.6e-98	342.5	4.5	1.0	1.0	1.2e-102	2.6e-98	342.5	4.5	1.0	214.0	552.0	765.0	552.0	765.0	1.0	unnamed protein product [Psylliodes chrysocephala]	False	Eukaryota	Metazoa	Arthropoda	Coleoptera	Psylliodes chrysocephala	pink
367	41139	Coccinella septempunctata	XP_044756234.1	810.0	GCF_023897955.1;XP_049849891.1;Meta_(430,634)	-	214.0	5.1e-98	341.6	4.1	1.0	1.0	2.3e-102	5.1e-98	341.6	4.1	1.0	214.0	535.0	748.0	535.0	748.0	1.0	gamma-aminobutyric acid type B receptor subunit 1 isoform X2 [Coccinella septempunctata]	False	Eukaryota	Metazoa	Arthropoda	Coleoptera	Coccinella septempunctata	pink
