	taxid	species	target_name	tlen	query name	accession	qlen	E-value	score1	bias1	#	of	c-Evalue	i-Evalue	score	bias	hmmfrom	hmmto	alifrom	alito	envfrom	envto	acc	description of target	chimera	superkingdom	kingdom	phylum	order	sci_name	color
0	161013.0	Thrips palmi	XP_034233350.1																		209.0	293.0		XP_034233350.1 endoglucanase-like [Thrips palmi]	True	Eukaryota	Metazoa	Arthropoda	Thysanoptera	Thrips palmi	pink
412	58824.0	Plodia interpunctella	XP_053609082.1	527.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	1.6e-29	116.4	4.2	1.0	1.0	3e-34	4.1e-29	115.0	4.2	2.0	65.0	448.0	511.0	447.0	511.0	0.98	uncharacterized protein LOC128674529 [Plodia interpunctella]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Plodia interpunctella	pink
990	2795564.0	Maniola hyperantus	XP_034832444.1	88.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	3.8e-29	115.1	0.8	1.0	1.0	3.5000000000000003e-34	4.7e-29	114.8	0.8	2.0	65.0	9.0	72.0	8.0	72.0	0.98	protein gamma response 1-like [Maniola hyperantus]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Maniola hyperantus	pink
636	168631.0	Chilo suppressalis	RVE44691.1	440.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	9.000000000000001e-29	113.9	3.5	1.0	1.0	6.6000000000000005e-34	9.000000000000001e-29	113.9	3.5	4.0	65.0	363.0	424.0	360.0	424.0	0.98	hypothetical protein evm_010649 [Chilo suppressalis]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Chilo suppressalis	pink
341	42275.0	Vanessa atalanta	XP_047533227.1	506.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	5.1e-29	114.7	5.0	1.0	1.0	1e-33	1.4e-28	113.3	2.8	4.0	65.0	429.0	490.0	426.0	490.0	0.98	uncharacterized protein LOC125068210 [Vanessa atalanta]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Vanessa atalanta	pink
913	1035111.0	Leguminivora glycinivorella	XP_047991841.1	556.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	4.6e-29	114.9	5.0	1.0	1.0	1.1e-33	1.6e-28	113.2	3.5	2.0	65.0	477.0	540.0	476.0	540.0	0.98	uncharacterized protein LOC125230653 [Leguminivora glycinivorella]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Leguminivora glycinivorella	pink
638	171605.0	Vanessa cardui	XP_046966231.1	450.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	7.1e-29	114.3	2.4	1.0	1.0	1.2e-33	1.6e-28	113.1	2.4	4.0	65.0	373.0	434.0	370.0	434.0	0.98	uncharacterized protein LOC124534410 isoform X3 [Vanessa cardui]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Vanessa cardui	pink
782	334116.0	Vanessa tameamea	XP_026492376.1	454.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	8.000000000000001e-29	114.1	2.7	1.0	1.0	1.3000000000000001e-33	1.7000000000000003e-28	113.0	2.7	4.0	65.0	377.0	438.0	374.0	438.0	0.98	uncharacterized protein LOC113398030 isoform X2 [Vanessa tameamea]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Vanessa tameamea	pink
570	116150.0	Pararge aegeria	XP_039753494.1	530.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	9.200000000000001e-30	117.1	5.9	2.0	2.0	1.8e-33	2.4e-28	112.6	2.2	2.0	65.0	451.0	514.0	450.0	514.0	0.98	uncharacterized protein LOC120628896 [Pararge aegeria]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Pararge aegeria	pink
541	104508.0	Euphydryas editha	CAH2096470.1	499.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	2.9e-28	112.3	2.5	1.0	1.0	2.100000000000001e-33	2.9e-28	112.3	2.5	4.0	65.0	422.0	483.0	419.0	483.0	0.98	unnamed protein product [Euphydryas editha]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Euphydryas editha	pink
888	680683.0	Amyelois transitella	XP_013195786.1	529.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	1.8000000000000002e-28	113.0	3.3	1.0	1.0	2.8000000000000002e-33	3.8000000000000005e-28	111.9	3.3	2.0	65.0	450.0	513.0	449.0	513.0	0.98	PREDICTED: uncharacterized protein LOC106139004 [Amyelois transitella]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Amyelois transitella	pink
556	110368.0	Bicyclus anynana	XP_052741217.1	475.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	4.6e-29	114.9	5.4	1.0	1.0	3.1e-33	4.2e-28	111.8	2.5	2.0	65.0	396.0	459.0	395.0	459.0	0.98	uncharacterized protein LOC112057013 isoform X2 [Bicyclus anynana]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Bicyclus anynana	pink
637	171585.0	Nymphalis io	XP_050350955.1	508.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	1.7000000000000003e-28	113.1	7.1	1.0	1.0	3.3e-33	4.500000000000001e-28	111.7	3.3	4.0	65.0	431.0	492.0	428.0	492.0	0.98	uncharacterized protein LOC126773808 [Nymphalis io]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Nymphalis io	pink
562	113334.0	Melitaea cinxia	XP_045448137.1	501.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	6.6e-28	111.2	4.4	1.0	1.0	4.8e-33	6.6e-28	111.2	4.4	3.0	65.0	423.0	485.0	421.0	485.0	0.98	uncharacterized protein LOC123656513 [Melitaea cinxia]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Melitaea cinxia	pink
285	33412.0	Zerene cesonia	XP_038209688.1	457.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	4.2e-28	111.8	3.3	1.0	1.0	7e-33	9.6e-28	110.6	3.3	2.0	65.0	378.0	441.0	377.0	441.0	0.98	uncharacterized protein LOC119830679 isoform X2 [Zerene cesonia]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Zerene cesonia	pink
667	189913.0	Leptidea sinapis	VVD05896.1	416.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	1.3e-27	110.2	2.2	1.0	1.0	9.7e-33	1.3e-27	110.2	2.2	3.0	65.0	338.0	400.0	336.0	400.0	0.98	unnamed protein product [Leptidea sinapis]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Leptidea sinapis	pink
46	7137.0	Galleria mellonella	XP_026761669.2	509.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	4.7000000000000005e-28	111.7	3.5	1.0	1.0	1.3e-32	1.8e-27	109.7	3.5	2.0	65.0	430.0	493.0	429.0	493.0	0.98	uncharacterized protein LOC113520519 isoform X1 [Galleria mellonella]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Galleria mellonella	pink
516	93504.0	Ostrinia furnacalis	XP_028163232.1	620.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	2.3e-48	176.7	16.7	2.0	2.0	1.6e-32	2.2e-27	109.5	4.3	2.0	65.0	541.0	604.0	540.0	604.0	0.98	uncharacterized protein LOC114354862 [Ostrinia furnacalis]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Ostrinia furnacalis	pink
458	72248.0	Colias croceus	XP_045497884.1	489.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	1.3e-27	110.3	5.0	1.0	1.0	2.2e-32	3.1e-27	109.0	5.0	2.0	65.0	410.0	473.0	409.0	473.0	0.98	uncharacterized protein LOC123695972 [Colias croceus]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	clouded yellow butterfly	pink
559	110799.0	Parnassius apollo	CAG4940561.1	577.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	3.6e-27	108.8	3.6	1.0	1.0	2.6000000000000003e-32	3.6e-27	108.8	3.6	2.0	65.0	498.0	561.0	497.0	561.0	0.98	unnamed protein product [Parnassius apollo]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Parnassius apollo	pink
509	91739.0	Aricia agestis	XP_041979547.1	498.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	4.2e-27	108.6	4.1	1.0	1.0	3e-32	4.2e-27	108.6	4.1	2.0	65.0	419.0	482.0	418.0	482.0	0.98	uncharacterized protein LOC121733385 [Aricia agestis]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Aricia agestis	pink
475	76194.0	Papilio polytes	XP_013134101.1	439.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	3.3e-27	108.9	3.8	1.0	1.0	5.9e-32	8e-27	107.7	3.8	2.0	65.0	360.0	423.0	359.0	423.0	0.98	PREDICTED: uncharacterized protein LOC106099953 [Papilio polytes]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Papilio polytes	pink
819	405034.0	Brenthis ino	CAH0715768.1	490.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	8.9e-27	107.5	4.6	1.0	1.0	6.5e-32	8.9e-27	107.5	4.6	3.0	65.0	413.0	475.0	411.0	475.0	0.98	unnamed protein product, partial [Brenthis ino]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Brenthis ino	pink
474	76193.0	Papilio machaon	XP_045536605.1	560.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	1.1e-26	107.2	3.8	1.0	1.0	8.3e-32	1.1e-26	107.2	3.8	2.0	65.0	481.0	544.0	480.0	544.0	0.98	protein gamma response 1 [Papilio machaon]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Papilio machaon	pink
444	66420.0	Papilio xuthus	XP_013180420.1	562.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	1.1e-26	107.2	3.8	1.0	1.0	8.400000000000001e-32	1.1e-26	107.2	3.8	2.0	65.0	483.0	546.0	482.0	546.0	0.98	PREDICTED: uncharacterized protein LOC106127025 [Papilio xuthus]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Papilio xuthus	pink
383	51655.0	Plutella xylostella	XP_048478473.1	549.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	1.4e-26	106.9	2.3	1.0	1.0	1e-31	1.4e-26	106.9	2.3	2.0	65.0	470.0	533.0	469.0	533.0	0.98	uncharacterized protein LOC105381329 [Plutella xylostella]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Plutella xylostella	pink
558	110791.0	Iphiclides podalirius	CAH2048422.1	572.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	1.9999999999999998e-26	106.4	2.4	1.0	1.0	1.4e-31	1.9999999999999998e-26	106.4	2.4	2.0	65.0	493.0	556.0	492.0	556.0	0.98	unnamed protein product, partial [Iphiclides podalirius]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Iphiclides podalirius	pink
615	151541.0	Danaus chrysippus	CAG9562116.1	389.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	2.9e-26	105.9	1.5	1.0	1.0	4.7e-31	6.5e-26	104.8	1.5	3.0	65.0	312.0	374.0	310.0	374.0	0.97	unnamed protein product [Danaus chrysippus]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Danaus chrysippus	pink
668	191418.0	Maniola jurtina	XP_045773282.1	530.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	1.4e-27	110.1	4.1	2.0	2.0	5.1e-31	7e-26	104.7	1.2	2.0	65.0	451.0	514.0	450.0	514.0	0.98	uncharacterized protein LOC123872794 isoform X1 [Maniola jurtina]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	Maniola jurtina	pink
752	278856.0	Danaus plexippus plexippus	OWR43473.1	424.0	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65.0	4.2e-26	105.4	1.4	1.0	1.0	8.2e-31	1.1e-25	104.0	1.4	3.0	65.0	347.0	409.0	345.0	409.0	0.97	hypothetical protein KGM_206343 [Danaus plexippus plexippus]	False	Eukaryota	Metazoa	Arthropoda	Lepidoptera	American monarch	pink
