	taxid	species	target_name	tlen	query name	accession	qlen	E-value	score1	bias1	#	of	c-Evalue	i-Evalue	score	bias	hmmfrom	hmmto	alifrom	alito	envfrom	envto	acc	description of target	chimera	superkingdom	kingdom	phylum	order	sci_name	color
0	88015	Eurytemora affinis	XP_023332299.1																		0.0	193.0		XP_023332299.1 uncharacterized protein LOC111704317 [Eurytemora affinis]	True	Eukaryota	Metazoa	Arthropoda	Calanoida	Eurytemora affinis	pink
811	400727	Pomacea canaliculata	XP_025105539.1	189.0	GCF_000591075.1;XP_023332299.1;Meta_(3,183)	-	193.0	3.2000000000000003e-38	145.6	0.0	1.0	1.0	1.8e-42	3.9e-38	145.3	0.0	3.0	179.0	1.0	173.0	1.0	184.0	0.93	LOW QUALITY PROTEIN: putative glutathione-specific gamma-glutamylcyclotransferase 2 [Pomacea canaliculata]	False	Eukaryota	Metazoa	Mollusca	Architaenioglossa	Pomacea canaliculata	orange
332	37623	Ostrea edulis	XP_048733980.1	183.0	GCF_000591075.1;XP_023332299.1;Meta_(3,183)	-	193.0	4.6e-38	145.1	0.0	1.0	1.0	2.5e-42	5.4e-38	144.8	0.0	3.0	183.0	1.0	176.0	1.0	181.0	0.93	putative glutathione-specific gamma-glutamylcyclotransferase 2 [Ostrea edulis]	False	Eukaryota	Metazoa	Mollusca	Ostreida	Ostrea edulis	orange
908	1093978	Elysia marginata	GFR93147.1	190.0	GCF_000591075.1;XP_023332299.1;Meta_(3,183)	-	193.0	5.6e-38	144.8	0.0	1.0	1.0	3e-42	6.6e-38	144.5	0.0	3.0	186.0	1.0	179.0	1.0	183.0	0.93	gamma-glutamylcyclotransferase [Elysia marginata]	False	Eukaryota	Metazoa	Mollusca		Elysia marginata	orange
234	10224	Saccoglossus kowalevskii	XP_002733586.1	186.0	GCF_000591075.1;XP_023332299.1;Meta_(3,183)	-	193.0	1.2e-37	143.7	0.0	1.0	1.0	6.4e-42	1.4e-37	143.5	0.0	4.0	185.0	2.0	176.0	1.0	181.0	0.92	PREDICTED: cation transport regulator-like protein 2-like [Saccoglossus kowalevskii]	False	Eukaryota	Metazoa	Hemichordata		Saccoglossus kowalevskii	orange
691	218467	Centruroides sculpturatus	XP_023209537.1	192.0	GCF_000591075.1;XP_023332299.1;Meta_(3,183)	-	193.0	1.3000000000000001e-37	143.6	0.1	1.0	1.0	6.999999999999999e-42	1.5e-37	143.4	0.1	3.0	184.0	8.0	184.0	6.0	190.0	0.93	putative glutathione-specific gamma-glutamylcyclotransferase 2 [Centruroides sculpturatus]	False	Eukaryota	Metazoa	Arthropoda	Scorpiones	Centruroides sculpturatus	pink
586	133901	Frankliniella occidentalis	KAE8751076.1	215.0	GCF_000591075.1;XP_023332299.1;Meta_(3,183)	-	193.0	2.5e-37	142.7	0.0	1.0	1.0	1.5999999999999998e-41	3.6e-37	142.2	0.0	3.0	192.0	11.0	209.0	9.0	210.0	0.87	hypothetical protein FOCC_FOCC002161 [Frankliniella occidentalis]	False	Eukaryota	Metazoa	Arthropoda	Thysanoptera	Frankliniella occidentalis	pink
307	34720	Trachymyrmex septentrionalis	KYN30634.1	196.0	GCF_000591075.1;XP_023332299.1;Meta_(3,183)	-	193.0	1.2e-36	140.5	0.0	1.0	1.0	6.7e-41	1.5e-36	140.2	0.0	3.0	186.0	4.0	185.0	2.0	190.0	0.93	Cation transport regulator-like protein 2 [Trachymyrmex septentrionalis]	False	Eukaryota	Metazoa	Arthropoda	Hymenoptera	Trachymyrmex septentrionalis	pink
662	188477	Elysia chlorotica	RUS78140.1	190.0	GCF_000591075.1;XP_023332299.1;Meta_(3,183)	-	193.0	1.4e-36	140.2	0.0	1.0	1.0	7.9e-41	1.7e-36	139.9	0.0	3.0	186.0	1.0	179.0	1.0	187.0	0.92	hypothetical protein EGW08_014113 [Elysia chlorotica]	False	Eukaryota	Metazoa	Mollusca		Elysia chlorotica	orange
27	6973	Blattella germanica	PSN39926.1	198.0	GCF_000591075.1;XP_023332299.1;Meta_(3,183)	-	193.0	4.7e-37	141.8	0.3	1.0	1.0	1.2e-40	2.5e-36	139.4	0.3	3.0	187.0	1.0	197.0	1.0	198.0	0.85	putative glutathione-specific gamma-glutamylcyclotransferase 2 [Blattella germanica]	False	Eukaryota	Metazoa	Arthropoda	Blattodea	Blattella germanica	pink
