DATASET_COLORSTRIP
#In colored strip datasets, each ID is associated to a color box/strip and can have an optional label. Color can be specified in hexadecimal, RGB or RGBA notation. When using RGB or RGBA notation, you cannot use COMMA as the dataset separator

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file.

#SEPARATOR TAB
#SEPARATOR COMMA
SEPARATOR SPACE


#label is used in the legend table (can be changed later)
DATASET_LABEL colorstrip


LEGEND_TITLE Taxonomic labels

LEGEND_SHAPES 1 1 1 1
LEGEND_COLORS #ff00ff #0000ff #a52a2a #000000
LEGEND_LABELS Arthropod_chimera_(primary) Bacteria Fungi Other

STRIP_WIDTH 40

DATA


WP_245699946.1_9_121 #0000ff
WP_250972245.1_11_125 #0000ff
WP_254417171.1_15_121 #0000ff
WP_239118787.1_14_120 #0000ff
WP_183651951.1_12_120 #0000ff
MBW8810185.1_13_121 #0000ff
WP_181373821.1_13_122 #0000ff
NHO80443.1_16_125 #0000ff
RBQ13726.1_16_125 #0000ff
EWM66102.1_17_126 #0000ff
WP_184681858.1_15_126 #0000ff
WP_210884121.1_13_122 #0000ff
MBQ1045466.1_14_123 #0000ff
WP_247679293.1_18_127 #0000ff
WP_198937421.1_14_123 #0000ff
WP_225980633.1_12_123 #0000ff
WP_197494934.1_16_122 #0000ff
WP_187693269.1_13_122 #0000ff
WP_210870343.1_13_122 #0000ff
WP_262012640.1_13_122 #0000ff
WP_203222017.1_12_122 #0000ff
WP_095567201.1_9_123 #0000ff
WP_211359568.1_12_120 #0000ff
WP_089326408.1_9_122 #0000ff
WP_125616165.1_8_122 #0000ff
WP_026405229.1_9_122 #0000ff
WP_218040145.1_12_120 #0000ff
WP_206664102.1_13_123 #0000ff
WP_116023969.1_13_121 #0000ff
WP_197009753.1_9_122 #0000ff
WP_061727800.1_26_139 #0000ff
EFH23523.1_26_139 #0000ff
WP_118780201.1_26_139 #0000ff
WP_260335323.1_4_116 #0000ff
EGY60796.1_26_139 #0000ff
WP_107843022.1_26_139 #0000ff
WP_003778183.1_26_139 #0000ff
WP_070493967.1_26_139 #0000ff
WP_212510279.1_23_138 #0000ff
WP_118789277.1_23_138 #0000ff
WP_065246380.1_23_138 #0000ff
WP_005715851.1_24_138 #0000ff
MBN1329156.1_11_130 #000000
WP_134232381.1_7_124 #0000ff
WP_004347833.1_7_124 #0000ff
HCL2715196.1_7_124 #0000ff
ERV08887.1_6_121 #0000ff
ERX33760.1_5_122 #0000ff
RKW31095.1_9_122 #0000ff
NNF43759.1_12_121 #0000ff
OJW10298.1_9_120 #0000ff
KAI9287859.1_13_133 #a52a2a
KAG2173910.1_14_133 #a52a2a
KAH8556021.1_12_133 #a52a2a
XP_035708168.1_264_393 #ff00ff
MCA9710988.1_24_140 #0000ff
MBK7828872.1_29_151 #0000ff
HAS47180.1_27_141 #0000ff
TMC85620.1_14_119 #0000ff
NHJ38414.1_7_130 #000000
BCL83045.1_17_129 #0000ff
CEN62699.1_18_131 #a52a2a
KAJ0415220.1_23_136 #a52a2a
REC53880.1_10_127 #0000ff
REC43745.1_10_127 #0000ff
WP_230652042.1_54_169 #0000ff
WP_230636982.1_52_169 #0000ff
WP_228448871.1_52_169 #0000ff
MBW3523535.1_10_127 #0000ff
WP_267280818.1_10_127 #0000ff
WP_191735587.1_10_127 #0000ff
KQM20589.1_9_126 #0000ff
WP_228433659.1_5_119 #0000ff
WP_241775047.1_10_124 #0000ff
WP_076351606.1_42_160 #0000ff
WP_228422403.1_44_153 #0000ff
WP_007843538.1_44_160 #0000ff
WP_172278603.1_10_126 #0000ff
ASK32691.1_12_127 #0000ff
PZU91661.1_37_154 #0000ff
WP_232707008.1_36_153 #0000ff
WP_144219404.1_25_137 #0000ff
WP_007805570.1_27_143 #0000ff
PUU68750.1_25_145 #0000ff
WP_274783380.1_36_152 #0000ff
MBO9583685.1_10_125 #0000ff
WP_071638732.1_11_126 #0000ff
WP_223704484.1_10_124 #0000ff
WP_248727492.1_9_124 #0000ff
MBL7945015.1_47_159 #0000ff
WP_185146548.1_6_127 #0000ff
WP_185147660.1_9_127 #0000ff
WP_228401584.1_7_128 #0000ff
WP_228452184.1_7_127 #0000ff
WP_045497693.1_10_127 #0000ff
WP_209912945.1_9_127 #0000ff
WP_250255750.1_9_127 #0000ff
WP_123911228.1_9_127 #0000ff
WP_123856136.1_10_127 #0000ff
WP_065393296.1_7_128 #0000ff
WP_076550124.1_8_128 #0000ff
WP_115919849.1_9_124 #0000ff
WP_115925933.1_6_121 #0000ff
WP_253317926.1_6_122 #0000ff
WP_079241912.1_6_122 #0000ff
WP_228411997.1_7_122 #0000ff
WP_228436685.1_6_122 #0000ff
WP_124531931.1_6_122 #0000ff
WP_142016651.1_6_122 #0000ff
WP_228437657.1_6_122 #0000ff
WP_129039928.1_6_123 #0000ff
WP_228406885.1_6_123 #0000ff
WP_126651060.1_6_123 #0000ff
WP_193544945.1_6_122 #0000ff
WP_197043906.1_16_130 #0000ff
AFM02747.1_43_161 #0000ff
SFT50356.1_34_150 #0000ff
WP_229746881.1_48_163 #0000ff
KAJ5066093.1_444_562 #000000
BAZ32184.1_13_126 #0000ff
TLX95196.1_12_127 #000000
