target_name	target_accession	tlen	query_name	accession	qlen	E-value	score1	bias1	#	of	c-Evalue	i-Evalue	score	bias	hmmfrom	hmmto	alifrom	alito	envfrom	envto	acc	description_of_target	species
XP_035715441.1	-	526	GCF_002217175.1;XP_035715441.1;HGT_(356,477)	-	108	4.6e-37	140.8	0.7	1	1	1e-41	1.1e-36	139.6	0.7	1	108	363	472	363	472	0.96	mucin-2-like [Folsomia candida]	Folsomia candida
XP_021959386.1	-	297	GCF_002217175.1;XP_035715441.1;HGT_(356,477)	-	108	1.6e-36	139.1	0.1	1	1	3.9e-41	4.2e-36	137.7	0.0	1	108	139	248	139	248	0.99	uncharacterized protein LOC110855275 isoform X3 [Folsomia candida]	Folsomia candida
XP_021959384.1	-	299	GCF_002217175.1;XP_035715441.1;HGT_(356,477)	-	108	1.6e-36	139.1	0.1	1	1	4e-41	4.2e-36	137.7	0.0	1	108	141	250	141	250	0.99	uncharacterized protein LOC110855275 isoform X2 [Folsomia candida]	Folsomia candida
XP_021959383.1	-	305	GCF_002217175.1;XP_035715441.1;HGT_(356,477)	-	108	1.7e-36	138.9	0.1	1	1	4.1e-41	4.4e-36	137.6	0.0	1	108	147	256	147	256	0.99	uncharacterized protein LOC110855275 isoform X1 [Folsomia candida]	Folsomia candida
XP_021959337.1	-	329	GCF_002217175.1;XP_035715441.1;HGT_(356,477)	-	108	1.6e-35	135.9	0.0	1	1	1.7e-39	1.8e-34	132.5	0.0	2	108	177	282	176	282	0.99	mucin-17 [Folsomia candida]	Folsomia candida
OXA49732.1	-	300	GCF_002217175.1;XP_035715441.1;HGT_(356,477)	-	108	1.9e-35	135.6	1.1	1	1	1.1e-39	1.1e-34	133.1	0.5	2	108	147	251	146	251	0.99	hypothetical protein Fcan01_15829 [Folsomia candida]	Folsomia candida
OXA48337.1	-	356	GCF_002217175.1;XP_035715441.1;HGT_(356,477)	-	108	2e-35	135.5	0.0	1	1	1.9e-39	2.1e-34	132.3	0.0	2	108	204	309	203	309	0.99	hypothetical protein Fcan01_17351 [Folsomia candida]	Folsomia candida
XP_035712573.1	-	405	GCF_002217175.1;XP_035715441.1;HGT_(356,477)	-	108	2.5e-35	135.2	0.3	1	1	7.6e-40	8.1e-35	133.6	0.0	6	107	246	350	242	351	0.96	mucin-5AC [Folsomia candida]	Folsomia candida
XP_035711965.1	-	281	GCF_002217175.1;XP_035715441.1;HGT_(356,477)	-	108	1.3e-34	132.9	0.0	1	1	3.8e-39	4e-34	131.3	0.0	2	108	126	234	125	234	0.98	uncharacterized protein LOC118437199 [Folsomia candida]	Folsomia candida
OXA41955.1	-	319	GCF_002217175.1;XP_035715441.1;HGT_(356,477)	-	108	1.5e-34	132.7	1.0	1	1	2.8e-39	3e-34	131.7	1.0	1	108	168	271	168	271	0.98	hypothetical protein Fcan01_23283 [Folsomia candida]	Folsomia candida
XP_021964286.2	-	349	GCF_002217175.1;XP_035715441.1;HGT_(356,477)	-	108	1.8e-34	132.5	1.0	1	1	3.3e-39	3.6e-34	131.5	1.0	1	108	198	301	198	301	0.98	uncharacterized protein LOC110859630 isoform X2 [Folsomia candida]	Folsomia candida
XP_035715531.1	-	429	GCF_002217175.1;XP_035715441.1;HGT_(356,477)	-	108	2.2e-34	132.2	1.0	1	1	4.9e-39	5.2e-34	131.0	1.0	1	108	278	381	278	381	0.98	uncharacterized protein LOC110859630 isoform X1 [Folsomia candida]	Folsomia candida
XP_035711370.1	-	146	GCF_002217175.1;XP_035715441.1;HGT_(356,477)	-	108	5.5e-33	127.7	0.9	1	1	8.3e-38	8.9e-33	127.0	0.9	10	108	1	97	1	97	0.99	uncharacterized protein LOC118436839 [Folsomia candida]	Folsomia candida
XP_021959809.1	-	213	GCF_002217175.1;XP_035715441.1;HGT_(356,477)	-	108	2.7e-31	122.3	0.4	1	1	4e-36	4.3e-31	121.6	0.4	4	108	61	168	58	168	0.97	uncharacterized protein LOC110855707 [Folsomia candida]	Folsomia candida
XP_021959387.1	-	295	GCF_002217175.1;XP_035715441.1;HGT_(356,477)	-	108	7.2e-30	117.7	0.0	1	1	1.9e-34	2.1e-29	116.2	0.0	16	108	152	246	149	246	0.98	uncharacterized protein LOC110855275 isoform X4 [Folsomia candida]	Folsomia candida
OXA53353.1	-	260	GCF_002217175.1;XP_035715441.1;HGT_(356,477)	-	108	1.2e-29	117.0	0.0	1	1	2e-34	2.2e-29	116.1	0.0	1	102	110	218	110	223	0.97	Proteoglycan 4 [Folsomia candida]	Folsomia candida
XP_021952946.1	-	372	GCF_002217175.1;XP_035715441.1;HGT_(356,477)	-	108	1.4e-29	116.7	0.1	1	1	4.4e-34	4.7e-29	115.0	0.0	1	102	211	319	211	324	0.97	mucin-2 [Folsomia candida]	Folsomia candida
OXA47918.1	-	140	GCF_002217175.1;XP_035715441.1;HGT_(356,477)	-	108	1.6e-29	116.5	0.0	1	1	1.9e-34	2.1e-29	116.2	0.0	18	108	1	93	1	93	0.99	hypothetical protein Fcan01_17400 [Folsomia candida]	Folsomia candida
OXA47223.1	-	132	GCF_002217175.1;XP_035715441.1;HGT_(356,477)	-	108	9.6e-26	104.4	0.1	1	1	1.2e-30	1.3e-25	104.0	0.1	4	89	35	119	32	126	0.96	hypothetical protein Fcan01_17911 [Folsomia candida]	Folsomia candida
XP_035715062.1	-	152	GCF_002217175.1;XP_035715441.1;HGT_(356,477)	-	108	2.9e-24	99.6	0.8	1	1	3.5e-29	3.8e-24	99.3	0.8	6	108	2	105	1	105	0.96	uncharacterized protein LOC118438630 [Folsomia candida]	Folsomia candida
XP_021964350.1	-	305	GCF_002217175.1;XP_035715441.1;HGT_(356,477)	-	108	3.3e-22	93.0	0.8	1	1	5e-27	5.3e-22	92.3	0.1	2	108	148	258	147	258	0.94	uncharacterized protein LOC110859687 [Folsomia candida]	Folsomia candida
WP_065857016.1	-	1131	GCF_002217175.1;XP_035715441.1;HGT_(356,477)	-	108	9.5e-22	91.5	3.5	1	7	2.2	2.4e+05	6.6	0.0	4	62	701	755	697	755	0.87	RICIN domain-containing protein [Paenibacillus pectinilyticus]	Paenibacillus pectinilyticus
WP_065857016.1	-	1131	GCF_002217175.1;XP_035715441.1;HGT_(356,477)	-	108	9.5e-22	91.5	3.5	2	7	0.00012	12	20.4	0.2	7	68	751	808	747	822	0.90	RICIN domain-containing protein [Paenibacillus pectinilyticus]	Paenibacillus pectinilyticus
WP_065857016.1	-	1131	GCF_002217175.1;XP_035715441.1;HGT_(356,477)	-	108	9.5e-22	91.5	3.5	3	7	5.4e-05	5.8	21.5	0.0	2	54	845	894	844	907	0.82	RICIN domain-containing protein [Paenibacillus pectinilyticus]	Paenibacillus pectinilyticus
